2019-03-18 17:58:50 INFO     

2019-03-18 18:16:40 INFO     0181B71288CE6D7D57AA7447B9BB0602642CD73B => 1.56577467918396 seconds
2019-03-18 18:16:41 INFO     019FEB22CE04CBD0489B7F24BE038518B64FA223 => 0.924807071685791 seconds
2019-03-18 18:16:43 INFO     01A0FC0A1A118E1D7B178E239654080D5CFE63F8 => 1.0338709354400635 seconds
2019-03-18 18:16:44 INFO     01A29616776B7DFAEDD8C888CEE92276AF7B3E7D => 1.3199057579040527 seconds
2019-03-18 18:16:46 INFO     01A6BF7EE1732DE26586027F935BA4C9D2A076AD => 1.4839138984680176 seconds
2019-03-18 18:16:47 INFO     01AE2DE314276C82FCCC3603A1C2F3238E6544C9 => 0.9266560077667236 seconds
2019-03-18 18:16:48 INFO     01C2DF6BD24025ACC203D73A27AB724DED1CADDD => 0.965069055557251 seconds
2019-03-18 18:16:50 INFO     01E79D11DAF1B2F522CED15F3304C37656F98C7E => 0.8328728675842285 seconds
2019-03-18 18:16:51 INFO     01FE2137C42E4802507A1FD97B0158116FD78A8C => 0.9957971572875977 seconds
2019-03-18 18:16:52 INFO     021047C51A57254D263DDB8B9277CA1C286D600E => 1.2710158824920654 seconds
2019-03-18 18:16:54 INFO     021DDCD687FD505B7EA7E75DA6CEF0D778AA07FB => 0.9442553520202637 seconds
2019-03-18 18:16:55 INFO     025B66CEBC070FCB0519D206CF0CF4965C20C96E => 1.1872503757476807 seconds
2019-03-18 18:16:56 INFO     026DD786689D26A4C1B96ABDE3797CF01941D276 => 0.8960199356079102 seconds
2019-03-18 18:16:57 INFO     02928855BFAD787F8B363F21860D1E7D156E0655 => 0.7900900840759277 seconds
2019-03-18 18:16:59 INFO     029688068A856454EA3E5989AF2C22EC7729987E => 0.9687991142272949 seconds
2019-03-18 18:17:00 INFO     029E107A59D2B4FEBD06A6115167BD6D048D9C0A => 0.860023021697998 seconds
2019-03-18 18:17:01 INFO     02C20DF6575F3C591E5BBB682D88D53028D4F4B1 => 0.9698271751403809 seconds
2019-03-18 18:17:03 INFO     02D10F351A45C6470B795D5AB29DB44B4F5A9F9E => 1.219106912612915 seconds
2019-03-18 18:17:04 INFO     02ED4F8DB11F1303BA21B16AA1CF2A0A48547ACA => 0.8303718566894531 seconds
2019-03-18 18:17:05 INFO     0338F9F55111FE8E3570E7DE117EF3AF999CC1D7 => 1.1132960319519043 seconds
2019-03-18 18:17:07 INFO     037BCD0EBDF7DB9F3D562DA27D463F0F78F1494B => 1.1808371543884277 seconds
2019-03-18 18:17:08 INFO     038C30D2AD053147C91EFB1291527ED621D7D1B1 => 1.2690789699554443 seconds
2019-03-18 18:17:10 INFO     03A33C3454FC0F9AC6966F12FA486999F5A22896 => 1.0376648902893066 seconds
2019-03-18 18:17:11 INFO     03C3069E814E296EB18776EB61B1ECB754ED89FE => 1.4232761859893799 seconds
2019-03-18 18:17:13 INFO     03C8B603AEBEC0AC4C1F73E3B0CC96A02A04D83D => 1.2933740615844727 seconds
2019-03-18 18:17:16 INFO     03DC081E4409631006EFCD3AF13AFAAF2B553FFC => 1.8177368640899658 seconds
2019-03-18 18:17:18 INFO     03DD9DA4E114D3BFE0603E9A0DA2419588B9C45B => 1.1347582340240479 seconds
2019-03-18 18:17:19 INFO     03E9F7E669C8F911C5EEC3EC094533151F857420 => 1.3074970245361328 seconds
2019-03-18 18:17:21 INFO     03F26766F14B0B7B5D22461083807D313429A34F => 0.792884111404419 seconds
2019-03-18 18:17:22 INFO     0409605E8343562A790FFE846CB3BD7C04429F70 => 0.8898220062255859 seconds
2019-03-18 18:17:23 INFO     040A7442349A2AC92233C2470D6C4F2BD02EDF15 => 1.3459272384643555 seconds
2019-03-18 18:17:25 INFO     041646640AB306EA74B001966E86169B04CC88D2 => 1.1252989768981934 seconds
2019-03-18 18:17:26 INFO     043199D2C41E640430B77388B80D442D379BD8E2 => 0.8486261367797852 seconds
2019-03-18 18:17:28 INFO     046D6F0ED89EB9E0DD361654891FDA66F86131FA => 1.3464531898498535 seconds
2019-03-18 18:17:29 INFO     0474ED37CC995F2091C0B1D76E6F806F09E3775B => 1.286611795425415 seconds
2019-03-18 18:17:31 INFO     0485027A0A349D454D978F6C1CECDD29EA17769A => 0.9941010475158691 seconds
2019-03-18 18:17:32 INFO     049C1168996B33B2240DF6D83C35B85452CF70A6 => 1.270277738571167 seconds
2019-03-18 18:17:34 INFO     04A28A62F27D9C4A60F9ED0C4264E98B988C65A3 => 0.8934891223907471 seconds
2019-03-18 18:17:35 INFO     04A78F3B4FC2F35F4F72C7CD9C81FE5EE098A5F1 => 1.1972301006317139 seconds
2019-03-18 18:17:36 INFO     0516085D6CAC40ED4CDCEFDFC5CCF6B00DE61DED => 0.9389779567718506 seconds
2019-03-18 18:17:38 INFO     052F3156A6EBCFE7A9CC13A2EE6E1B8FF06CA9DA => 1.5208489894866943 seconds
2019-03-18 18:17:40 INFO     05360E955C4C4C51CBA140DFDDFC8BDE2ACF6244 => 1.6386327743530273 seconds
2019-03-18 18:17:42 INFO     055B155A44A968491D71EEF11D3B6AE38082F6FC => 1.2448770999908447 seconds
2019-03-18 18:17:43 INFO     05922C861C988D5C8FD46CD8C0351DC148E42B00 => 1.1337437629699707 seconds
2019-03-18 18:17:45 INFO     0597EAC38F56E630865A6A3861E96F65F1009416 => 1.1641829013824463 seconds
2019-03-18 18:17:46 INFO     05D57E78593931AA9AC0B71277D417A2F611FBF1 => 0.891618013381958 seconds
2019-03-18 18:17:49 INFO     061370AE41C1084B2910EB0522C8B2DB1C2CB96E => 2.0479371547698975 seconds
2019-03-18 18:17:50 INFO     063BD3BF8C110617E7CA09C96C0EDC0270329F0B => 1.076366901397705 seconds
2019-03-18 18:17:52 INFO     0647C3F8352BBFA0D57A1C3E0DCF67FC3E073D2C => 1.1520018577575684 seconds
2019-03-18 18:17:53 INFO     064D3C4CC1B854839B0979FE1C2F05ABAB7F9D68 => 0.8476910591125488 seconds
2019-03-18 18:17:55 INFO     0665F55E1A1A339AF899CEF203FB826060E68D8A => 0.9925651550292969 seconds
2019-03-18 18:17:56 INFO     0677DF0B05ECDA2EF45F26C3332731043BB89AB8 => 0.9448277950286865 seconds
2019-03-18 18:17:59 INFO     06804E6383EE94E83C9453F39B1E524C272D6D84 => 1.066119909286499 seconds
2019-03-18 18:18:01 INFO     06982CE07887C1538E8EE91CF429BFE69A0129C0 => 1.114124059677124 seconds
2019-03-18 18:18:03 INFO     069DFADA8C65DEA2B9B2272160AF5E57958F9A97 => 1.4229731559753418 seconds
2019-03-18 18:18:05 INFO     06B0A287B485288524ED761DFAFAAAD2E4A8992B => 0.887401819229126 seconds
2019-03-18 18:18:06 INFO     06BBEAA6F73759A1795EB461D39D2AA168F305D1 => 0.8873000144958496 seconds
2019-03-18 18:18:08 INFO     06E72526BBE040C51C5ADFBAA07ADD9AEB5E1FA1 => 0.8643929958343506 seconds
2019-03-18 18:18:10 INFO     0783A7C2C5671CF7C25D8847A323598F003986C6 => 0.9925177097320557 seconds
2019-03-18 18:18:12 INFO     07905A0D8AD1C134D3036872140B1DB1EB761772 => 1.3673009872436523 seconds
2019-03-18 18:18:14 INFO     07B8FC5B66719C355FABF84B4F5E0131E127DF01 => 1.24241304397583 seconds
2019-03-18 18:18:16 INFO     07C3EC10D9E3D3493673F70BE71BAA8235CB3DB1 => 0.9125900268554688 seconds
2019-03-18 18:18:18 INFO     07E9F8DC6A7609C96E8239D7F1E8A0EEBA8CEBFF => 0.9890129566192627 seconds
2019-03-18 18:18:20 INFO     07EFE9AB5281FF9645E21FBDB2A77B5BA7F02F30 => 1.12015700340271 seconds
2019-03-18 18:18:22 INFO     07F5D725E456EDC1D84115DE7299F5B994F5D97B => 0.9191181659698486 seconds
2019-03-18 18:18:24 INFO     080BBF9B14454976FDEAD1AD620A04388F5A21F8 => 1.29408597946167 seconds
2019-03-18 18:18:27 INFO     0824D7C7FB117D5C6AC01581FD798E670C37C804 => 1.9018728733062744 seconds
2019-03-18 18:18:29 INFO     0829AD1FFBE2681CB9BFCC3B9B68C28A9B0B2780 => 1.1824700832366943 seconds
2019-03-18 18:18:31 INFO     082FEA31EBBBE3A9B2CF2F70A8C7CD28B475DB65 => 1.5031569004058838 seconds
2019-03-18 18:18:33 INFO     08394C4873C8A71BE9F53593F9B4AD694BFCDB90 => 1.022094964981079 seconds
2019-03-18 18:18:35 INFO     08492A9ED1AEF62C56D783A42E827BC220292B19 => 0.8295810222625732 seconds
2019-03-18 18:18:37 INFO     086085022FDFC5AAFE2DC264004FACEF34DE824C => 0.9922130107879639 seconds
2019-03-18 18:18:38 INFO     08BAAF8BFB8474DD50F16F28158AB12C59068E0A => 0.9006819725036621 seconds
2019-03-18 18:18:41 INFO     08CE3DBFDAA27DB6C044A677AF68D7235C2AFC85 => 1.0859098434448242 seconds
2019-03-18 18:18:43 INFO     08F1E380B2811D795A8B024E7FE21008ABFC9462 => 1.310122013092041 seconds
2019-03-18 18:18:46 INFO     091BB38D8A641014A652A36A8827A9E30EEEA882 => 1.0944831371307373 seconds
2019-03-18 18:18:47 INFO     091C4FD3221098B7FD8CF544B6E531AF41B1EB90 => 0.9262568950653076 seconds
2019-03-18 18:18:49 INFO     09260D2D0F6ED3937F4A2D6F69014AC19252C6CF => 0.9370791912078857 seconds
2019-03-18 18:18:51 INFO     092FC45AA6C732FAF19CEB8CFF09A7AD400EB1E9 => 1.3934850692749023 seconds
2019-03-18 18:18:52 INFO     0935AF6D5F3F4F91CCC7615071A0074F2EECA544 => 0.8269269466400146 seconds
2019-03-18 18:18:54 INFO     0935BA9178F9E3B50C99DD53F723865FC224CFA8 => 0.9488136768341064 seconds
2019-03-18 18:18:56 INFO     095739F236564C426B887A795F1F68557FFB9A20 => 0.9899442195892334 seconds
2019-03-18 18:18:58 INFO     09611CD6998223D0F22BA1C7B2B915394BD15C23 => 1.2146990299224854 seconds
2019-03-18 18:19:00 INFO     0964EEEF3AEF8442F510F8A61370657BC6E0E098 => 0.942633867263794 seconds
2019-03-18 18:19:02 INFO     098B3457ABA31AD65A3AF47F61B623E35B3FAB2D => 1.0003159046173096 seconds
2019-03-18 18:19:04 INFO     098CA7A2899B4A881CD98494FF2CF7D1D6923E43 => Circuit failed to be created: TIMEOUT
2019-03-18 18:19:06 INFO     098F6EF6441446B4B60EA6713B732EAAD179803D => 1.3589863777160645 seconds
2019-03-18 18:19:08 INFO     0990E0F4F2C127BDDA9B6726400FAC077F6C83B0 => 1.3044519424438477 seconds
2019-03-18 18:19:19,273 INFO     

2019-03-18 18:19:19,273 INFO     2019-03-18 18:19:19.273449
2019-03-18 18:19:19,273 INFO     

2019-03-18 18:19:19,273 INFO     2019-03-18 18:19:19.273663
2019-03-18 18:19:19,950 TRACE    Descriptors retrieved from 'http://66.111.2.131:9030/tor/status-vote/current/consensus' in 0.68s
2019-03-18 18:19:20,755 DEBUG    GETCONF __owningcontrollerprocess (runtime: 0.0003)
2019-03-18 18:19:20,755 DEBUG    GETINFO version (runtime: 0.0004)
2019-03-18 18:19:21,097 DEBUG    SETCONF __LeaveStreamsUnattached="1" (runtime: 0.0040)
2019-03-18 18:19:22,368 DEBUG    RESETCONF __LeaveStreamsUnattached (runtime: 0.0048)
